Player ID,Serial No,Registration ID,Player Name,Mobile Number,Village,District,Role / Category,Batting Style,Bowling Style,Assigned Team ID,Assigned Team Name,Tournament ID,Tournament Name,Photo URL,Registration Status
"ply-kpl-011",11,"KPL-2026-011","Omkar Dikpati","9732700011","Kuapur","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Fast","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-012",12,"KPL-2026-012","Prabir Midya","9732700012","Kota","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Medium","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-013",13,"KPL-2026-013","Rajib Karak","9732700013","Chandrakona Town","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Off Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-014",14,"KPL-2026-014","Sourav Manna","9732700014","Ramjibanpur","Paschim Medinipur","All-Rounder","Left Hand Bat","Left Arm Slow","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-015",15,"KPL-2026-015","Tapan Maity","9732700015","Ghatal","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Leg Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-016",16,"KPL-2026-016","Ayan Mukherjee","9732700016","Kuapur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Fast","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-017",17,"KPL-2026-017","Bikash Pramanik","9732700017","Kota","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Medium","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-018",18,"KPL-2026-018","Chitta Ghosh","9732700018","Chandrakona Town","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Off Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-019",19,"KPL-2026-019","Debabrata Seal","9732700019","Ramjibanpur","Paschim Medinipur","Bowler","Right Hand Bat","Left Arm Slow","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-020",20,"KPL-2026-020","Goutam Samanta","9732700020","Ghatal","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Leg Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-021",21,"KPL-2026-021","Himadri Adhikary","9732700021","Kuapur","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Fast","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-022",22,"KPL-2026-022","Jiten Bag","9732700022","Kota","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Medium","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-023",23,"KPL-2026-023","Kallol De","9732700023","Chandrakona Town","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Off Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-024",24,"KPL-2026-024","Liton Chalak","9732700024","Ramjibanpur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Left Arm Slow","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-025",25,"KPL-2026-025","Mihir Dey","9732700025","Ghatal","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Leg Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-026",26,"KPL-2026-026","Nabin Koley","9732700026","Kuapur","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Fast","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-027",27,"KPL-2026-027","Pinaki Mandal","9732700027","Kota","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Medium","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-028",28,"KPL-2026-028","Ratan Sasmal","9732700028","Chandrakona Town","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Off Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-029",29,"KPL-2026-029","Subrata Jana","9732700029","Ramjibanpur","Paschim Medinipur","Batsman","Right Hand Bat","Left Arm Slow","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-030",30,"KPL-2026-030","Tanmay Ghosal","9732700030","Ghatal","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Leg Spin","team-kuapur-kings","KUAPUR KINGS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-031",31,"KPL-2026-031","Abhijit Maiti","9732700031","Kuapur","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Fast","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-032",32,"KPL-2026-032","Barun Paul","9732700032","Kota","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Medium","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-033",33,"KPL-2026-033","Chiranjit Nandi","9732700033","Chandrakona Town","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Off Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-034",34,"KPL-2026-034","Deepak Dutta","9732700034","Ramjibanpur","Paschim Medinipur","All-Rounder","Left Hand Bat","Left Arm Slow","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-035",35,"KPL-2026-035","Gouranga Bhunia","9732700035","Ghatal","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Leg Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-036",36,"KPL-2026-036","Harakanta Kar","9732700036","Kuapur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Fast","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-037",37,"KPL-2026-037","Jayasri Das","9732700037","Kota","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Medium","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-038",38,"KPL-2026-038","Kunal Paria","9732700038","Chandrakona Town","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Off Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-039",39,"KPL-2026-039","Mahadev Porel","9732700039","Ramjibanpur","Paschim Medinipur","Bowler","Right Hand Bat","Left Arm Slow","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-040",40,"KPL-2026-040","Nimai Sheet","9732700040","Ghatal","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Leg Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-041",41,"KPL-2026-041","Partha Roy","9732700041","Kuapur","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Fast","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-042",42,"KPL-2026-042","Raju Pal","9732700042","Kota","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Medium","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-043",43,"KPL-2026-043","Surojit Sen","9732700043","Chandrakona Town","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Off Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-044",44,"KPL-2026-044","Tridib Mal","9732700044","Ramjibanpur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Left Arm Slow","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-045",45,"KPL-2026-045","Amitava Santra","9732700045","Ghatal","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Leg Spin","team-kuapur-warriors","KUAPUR WARRIORS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-046",46,"KPL-2026-046","Bhaskar Hazra","9732700046","Kuapur","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Fast","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-047",47,"KPL-2026-047","Dipak Middya","9732700047","Kota","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Medium","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-048",48,"KPL-2026-048","Ganesh Dolui","9732700048","Chandrakona Town","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Off Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-049",49,"KPL-2026-049","Harisadhan Bera","9732700049","Ramjibanpur","Paschim Medinipur","Batsman","Right Hand Bat","Left Arm Slow","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-050",50,"KPL-2026-050","Jayanta Panja","9732700050","Ghatal","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Leg Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-051",51,"KPL-2026-051","Kisor Dikpati","9732700051","Kuapur","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Fast","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-052",52,"KPL-2026-052","Madhusudan Midya","9732700052","Kota","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Medium","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-053",53,"KPL-2026-053","Nikhil Karak","9732700053","Chandrakona Town","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Off Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-054",54,"KPL-2026-054","Pradip Manna","9732700054","Ramjibanpur","Paschim Medinipur","All-Rounder","Left Hand Bat","Left Arm Slow","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-055",55,"KPL-2026-055","Rakesh Maity","9732700055","Ghatal","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Leg Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-056",56,"KPL-2026-056","Subhasis Mukherjee","9732700056","Kuapur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Fast","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-057",57,"KPL-2026-057","Tuhin Pramanik","9732700057","Kota","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Medium","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-058",58,"KPL-2026-058","Asim Ghosh","9732700058","Chandrakona Town","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Off Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-059",59,"KPL-2026-059","Biswajit Seal","9732700059","Ramjibanpur","Paschim Medinipur","Bowler","Right Hand Bat","Left Arm Slow","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-060",60,"KPL-2026-060","Debasis Samanta","9732700060","Ghatal","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Leg Spin","team-kuapur-riders","KUAPUR RIDERS","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
